class_id,start_time,end_time,staff_id,group,attendance
1,2024-04-20 09:30:00,2024-04-20 10:30:00,1,1,010000010010000100010001000010
2,2024-04-21 10:00:00,2024-04-21 11:00:00,2,2,001000100100001000100010001000
3,2024-04-22 11:30:00,2024-04-22 12:30:00,3,3,100010001000100010001000100010
4,2024-04-23 12:00:00,2024-04-23 13:00:00,1,1,010010001000100010001000100010
5,2024-04-24 13:30:00,2024-04-24 14:30:00,2,2,001000100010001000100010001000
6,2024-04-25 09:30:00,2024-04-25 10:30:00,3,3,100010001000100010001000100010
7,2024-04-26 10:00:00,2024-04-26 11:00:00,1,1,010010001000100010001000100010
8,2024-04-27 11:30:00,2024-04-27 12:30:00,2,2,001000100010001000100010001000
9,2024-04-28 12:00:00,2024-04-28 13:00:00,3,3,100010001000100010001000100010
10,2024-04-29 13:30:00,2024-04-29 14:30:00,1,1,010010001000100010001000100010
11,2024-04-30 09:30:00,2024-04-30 10:30:00,2,2,001000100010001000100010001000
12,2024-05-01 10:00:00,2024-05-01 11:00:00,3,3,100010001000100010001000100010
13,2024-05-02 11:30:00,2024-05-02 12:30:00,1,1,010010001000100010001000100010
14,2024-05-03 12:00:00,2024-05-03 13:00:00,2,2,001000100010001000100010001000
15,2024-05-04 13:30:00,2024-05-04 14:30:00,3,3,100010001000100010001000100010
